subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Temporal Coverage (Geologic Time)	time:TimePosition/gstime:uncertainty	uncertainty	xsd:decimal	skos:broadMatch	cov:timeScaleAgeUncertainty	timeScaleAgeUncertainty	res:NonEmptyStringType	0.75	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Temporal Coverage (Geologic Time)	time:TRS	TRS	owl:FunctionalProperty	skos:broadMatch	cov:timeScaleName	timeScaleName	res:NonEmptyStringType	0.75	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-28	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Spatial Reference System)	schema:spatialCoverage/schema:Place/schema:additionalProperty/schema:PropertyValue/schema:propertyID	propertyID	schema:Text schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-29	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Spatial Reference System)	schema:spatialCoverage/schema:Place/schema:additionalProperty/schema:PropertyValue/schema:value	value	schema:Text schema:StructuredValue	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-29	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Point Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoCoordinates/schema:latitude	latitude	schema:Number schema:Text	skos:exactMatch	cov:southBoundingCoordinate cov:northBoundingCoordinate	southBoundingCoordinate northBoundingCoordinate	xs:decimal xs:decimal	1	Definitions and types match.  Requires logic to determine if the coordinates match and thus form a point.	semapv:ManualMappingCuration	2023-08-29	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Point Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoCoordinates/schema:longitude	longitude	schema:Number schema:Text	skos:exactMatch	cov:westBoundingCoordinate cov:eastBoundingCoordinate	westBoundingCoordinate eastBoundingCoordinate	xs:decimal xs:decimal	1	Definitions and types match.  Requires logic to determine if the coordinates match and thus form a point.	semapv:ManualMappingCuration	2023-08-29	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Point Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoCoordinates/schema:elevation	elevation	schema:Number schema:Text	skos:narrowMatch	cov:altitudeMinimum cov:altitudeMaximum cov:altitudeUnits	altitudeMinimum altitudeMaximum altitudeUnits	xs:decimal xs:decimal unit:LengthUnitType	0.5	Definitions match but object type is narrower.  Requires logic to determine if the upper and lower bounds match to form a single value. Unequal object values will not be averaged since this would modify the information.  Note, it appears the subject assumes the spatial reference system "WGS 84" and is therefore unclear if this requirement is met by EML. For this reason the match type is given a low confidence.	semapv:ManualMappingCuration	2023-08-30	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Shape Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoShape/schema:box	box	schema:Text	skos:broadMatch	cov:southBoundingCoordinate cov:westBoundingCoordinate cov:northBoundingCoordinate cov:eastBoundingCoordinate	southBoundingCoordinate westBoundingCoordinate northBoundingCoordinate eastBoundingCoordinate	xs:decimal xs:decimal xs:decimal xs:decimal	1	Definitions match but object type is broader.  Requires the concatenation of the object properties in the listed order and with a blank space separator.	semapv:ManualMappingCuration	2023-08-29	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Shape Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoShape/schema:polygon	polygon	schema:Text	skos:broadMatch	cov:gRing	gRing	cov:GRingType	1	Definitions match but object type is broader.  The object definition recommends a format, but does not enforce it. Therefore an ideal solution is an algorithm capable of identifying probable formats and converting them to the subject.  Assuming the object's recommended format, conversion entails reversing the order of lon/lat values to lat/lon, replacing comma delimiters with spaces, and ensuring the first and final points are identical.	semapv:ManualMappingCuration	2023-08-30	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Shape Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoShape/schema:line	line	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-30	https://orcid.org/0000-0003-2261-9931
